"Auteur";"Identifiant auteur";"Titre";"Directeur de these";"Directeur de these (nom prenom)";"Identifiant directeur";"Etablissement de soutenance";"Identifiant etablissement";"Discipline";"Statut";"Date de premiere inscription en doctorat";"Date de soutenance";"Langue de la these";"Identifiant de la these";"Accessible en ligne";"Publication dans theses.fr";"Mise a jour dans theses.fr";
Lucie Peronet;201324350;Les mouvements de terrain dans les petites Antilles : Contribution à l'analyse comparative de leur gestion de crise;Françoise Pagney Bénito-Espinal;Pagney Bénito-Espinal Françoise;030901960;Antilles;187841578;Geographie;soutenue;;27-10-2015;fr;2015ANTI0146;oui;01-12-2016;31-05-2017;
Aurélie Tossem;198185936;Les cirques de La Réunion, un territoire touristique en devenir : questionnements et enjeux;Guy Fontaine,Vincent Vlès;Fontaine Guy,Vlès Vincent;032484275,028278046;La Réunion;026404451;Géographie;soutenue;;25-10-2016;fr;2016LARE0033;oui;13-02-2012;03-06-2017;
Cynthia Rondelli;200147773;Analyse et pratique d'une procédure participative : Mise en oeuvre d’une gestion durable des espaces verts : méthode et stratégie pour le gestionnaire : le cas de la ville d’Antibes Juan-les-Pins;Gilles Maignant;Maignant Gilles;070463980;Côte d'Azur;185433669;Géographie;soutenue;;30-11-2016;fr;2016AZUR2039;oui;17-01-2017;24-04-2017;
Nicolas Canova;17927502X;L'imaginaire géographique à l'épreuve du phénomène musical : L'exemple du flamenco en Andalousie;Olivier Soubeyran;Soubeyran Olivier;03006905X;Grenoble;030327202;Géographie;soutenue;;24-10-2012;fr;2012GRENH039;oui;07-07-2017;10-07-2017;
André Suchet;203013530;Acteurs, gouvernance et dynamiques de projet dans la concurrence des territoires en tourisme. : étude autour du programme sportif "Pyrénées : laboratoire de l'olympisme" 1988-1994 et des Jeux pyrénéens de l'aventure 1993;John N. Tuppen,Dominique Jorand;Tuppen John N.,Jorand Dominique;028416376,203013751;Grenoble;030327202;Géographie;soutenue;;26-11-2012;fr;2012GRENH038;oui;10-07-2017;10-07-2017;
Leonilde Chancia Nyinguema Ndong;194133893;Activités halieutiques et immigration clandestine dans le golfe de Guinée : le cas du Gabon;Jacques Guillaume;Guillaume Jacques;034465537;Nantes;026403447;Géographie;soutenue;;01-01-2015;fr;2015NANT3039;oui;26-09-2011;05-04-2017;
Muriel Froment Meurice;203085132;Produire et réguler les espaces publics contemporains : Les politiques de gestion de l'indésirabilité à Paris;Jérôme Monnet,Jean-François Staszak;Monnet Jérôme,Staszak Jean-François;028737563,029784808;Paris Est;190456396;Géographie;soutenue;;13-09-2016;fr;2016PESC1177;non;07-06-2013;14-07-2017;
Mohamed Saif Shabou;203082265;Extrêmes hydro-météorologiques et exposition sur les routes : Contribution à MobRISK : modèle de simulation de l'exposition des mobilités quotidiennes aux crues rapides;Céline Barrère-Lutoff,Isabelle Ruin;Barrère-Lutoff Céline,Ruin Isabelle;068866658,127376445;Grenoble Alpes;184668794;Géographie;soutenue;;27-10-2016;fr;2016GREAU031;oui;24-11-2014;17-07-2017;
Anne-Laure Pailloux;195117417;De la planète finie aux espaces de vie : La dimension spatiale des militantismes pour la décroissance en France et au Québec;Jérôme Monnet,Fabrice Ripoll;Monnet Jérôme,Ripoll Fabrice;028737563,089858921;Paris Est;190456396;Géographie;soutenue;;12-12-2016;fr;2016PESC1183;non;17-07-2017;17-07-2017;
Sekedoua Jules Athanase Kouadio;200217070;Les technologies smartphone comme outils d’aide à l’alerte face aux crues rapides en France : Expérimentations dans le Vaucluse et le Var;Loïc Grasland,Johnny Douvinet;Grasland Loïc,Douvinet Johnny;035784997,103765085;Avignon;026369044;Géographie;soutenue;;02-12-2016;fr;2016AVIG1163;oui;27-04-2015;19-07-2017;
Anna Dewaele;192390147;Habiter la ville émergente : trois nouvelles villes indiennes au prisme d'une citadinité des élites;Jean-Luc Racine;Racine Jean-Luc;03203525X;Paris, EHESS;026374889;Géographie;soutenue;;01-01-2016;fr;2016EHES0001;non;26-09-2011;18-07-2017;
Léa Mboumba Boussougou;203182340;L’approvisionnement alimentaire de la ville de Libreville au Gabon;Michel Lesourd;Lesourd Michel;03432738X;Rouen;026403919;Géographie;soutenue;;01-01-2016;fr;2016ROUEL045;non;26-09-2011;19-07-2017;
Prashant Pereira;20317139X;L'avenir des stations balnéaires dans le contexte de la fin du tourisme : le cas de la Baule et de Bournemouth;Philippe Violier;Violier Philippe;051621770;Angers;026402920;Geographie;soutenue;;19-12-2014;fr;2014ANGE0021;oui;20-02-2015;20-07-2017;
Clemence Ratel;203213165;Tourisme et environnement, le grand paradoxe de l'écotourisme. Exemples de Madagascar et du Costa Rica.;Philippe Violier;Violier Philippe;051621770;Angers;026402920;Géographie;soutenue;;14-10-2014;fr;2014ANGE0019;oui;26-09-2011;20-07-2017;
Aicha Benmecheta;203218515;Estimation de la température de surface a partir de l'imagerie satellitale validation sur une zone côtière d’Algérie;Abdelkader Abdellaoui;Abdellaoui Abdelkader;081295669;Paris Est;190456396;Géographie;soutenue;;05-11-2016;fr;2016PESC1171;oui;07-06-2013;20-07-2017;
Thomas Echelard;179479601;Contribution à l'étude de la dynamique des glaciers rocheux dans les Alpes françaises par interférométrie radar différentielle (D-InSAR);Philippe Schoeneich,Michel Gay;Schoeneich Philippe,Gay Michel;050289764,13783800X;Grenoble;030327202;Géographie;soutenue;;04-04-2014;fr;2014GRENU007;oui;08-11-2013;24-07-2017;
Sylvain Dernat;197771254;Choix de carrière dans l'enseignement vétérinaire et attractivité des territoires ruraux : Le facteur spatial dans les représentations socio-professionnelles des étudiants.;Sylvie Lardon,Arnaud Simeone;Lardon Sylvie,Simeone Arnaud;031424945,179942042;Clermont-Ferrand 2;026403102;Geographie;soutenue;;04-04-2016;fr;2016CLF20003;non;05-02-2014;17-08-2017;
Ulrich Maillot;132148854;La perception du développement durable à la Réunion : entre discours et réalité, politiques publiques et perceptions d'acteurs;Gilles Lajoie;Lajoie Gilles;031442897;La Réunion;026404451;Géographie;soutenue;;03-09-2015;fr;2015LARE0015;oui;26-09-2011;03-06-2017;
Marie Sevenet;200031619;La forme en 3D dans l'analyse spatiale des territoires urbanisés et de la durabilité urbaine;Christine Voiron-Canicio;Voiron-Canicio Christine;029208270;Nice;026403498;Géographie;soutenue;;19-04-2013;fr;2013NICE2048;oui;26-09-2011;24-08-2017;
Nicolas Michelot;176920986;L'influence des topoclimats sur la pollution de l'air aux particules dans le sud-ouest des Alpes-Maritimes;Pierre Carrega;Carrega Pierre;060724536;Nice;026403498;Géographie;soutenue;;21-02-2014;fr;2014NICE2007;oui;26-09-2011;24-08-2017;
Stéphane Bourrelly;191361488;Modélisation et identification de facteurs environnementaux géographiques liés à des risques morbides : Application aux séquelles développées après le traitement d'une leucémie : Cohorte LEA;Christine Voiron-Canicio;Voiron-Canicio Christine;029208270;Nice;026403498;Géographie;soutenue;;03-09-2014;fr;2014NICE2026;oui;26-09-2011;24-08-2017;
Floriane Scarella;183932781;La ségrégation résidentielle en contexte métropolitain : Analyse spatiale et géoprospective des dynamiques résidentielles en région PACA;Christine Voiron-Canicio,Giovanni Fusco;Voiron-Canicio Christine,Fusco Giovanni;029208270,077188705;Nice;026403498;Géographie;soutenue;;20-11-2014;fr;2014NICE2039;oui;26-09-2011;24-08-2017;
Yanis Oussalem Wallon;185642853;Appropriation spatiale touristique multiniveau : Sens et enjeux des représentations et usages dans les pays d'Europe centrale et orientale (PECO), exemple en Roumanie et Serbie;Jean-Christophe Gay,Dan-Alexandru Ilies;Gay Jean-Christophe,Ilies Dan-Alexandru;033138540,154941026;Nice;026403498;Géographie;soutenue;;24-03-2015;fr;2015NICE2004;oui;26-09-2011;24-08-2017;
Lilian Pugnet;186323700;Vulnérabilité des interfaces habitat-forêt à l'aléa incendie de forêt. : Evaluation couplant dires d’experts et simulation physique d’exposition;Christine Voiron-Canicio;Voiron-Canicio Christine;029208270;Nice;026403498;Géographie;soutenue;;13-04-2015;fr;2015NICE2010;oui;26-09-2011;24-08-2017;
Sébastien Passel;19004747X;« MOUV », un parcours de marche urbaine pour co-construire le vivre ensemble en ville de Nice;Gilles Maignant;Maignant Gilles;070463980;Nice;026403498;Géographie;soutenue;;10-07-2015;fr;2015NICE2023;non;06-01-2012;24-08-2017;
Hamid Belkaid;194624021;Analyse spatiale et environnementale du risque d’incendie de forêt en Algérie : Cas de la Kabylie maritime;Pierre Carrega;Carrega Pierre;060724536;Nice;026403498;Géographie;soutenue;;27-04-2016;fr;2016NICE2011;oui;26-09-2011;24-08-2017;
Juste Ndayishimiye;189019581;Anticiper et évaluer la durabilité des transports internationaux de fret : le rôle des Autoroutes de la Mer dans la réduction des émissions routières sur les hinterlands portuaires de Gênes et de Marseille;Christine Voiron-Canicio,Hilda Ghiara;Voiron-Canicio Christine,Ghiara Hilda;029208270,083823107;Nice;026403498;Géographie;soutenue;;29-06-2015;fr;2015NICE2020;oui;26-09-2011;24-08-2017;
Dorian Souliès;191235733;Le secours à personne : spatialiser, modéliser, outil d'aide à la décision : méthode d'optimisation de la localisation des moyens de secours à personne dans le cadre de la réalisation de documents de planification : application au département des Alpes-Maritimes;Christine Voiron-Canicio;Voiron-Canicio Christine;029208270;Nice;026403498;Géographie;soutenue;;14-12-2015;fr;2015NICE2034;oui;26-09-2011;24-08-2017;
Angélique Palle;201653966;L'espace énergétique européen : quelle(s) intégration(s) régionale(s)? : réseaux, normes, marchés, politiques, des intégrations à plusieurs échelles?;Yann Richard;Richard Yann;150620357;Paris 1;027361802;Geographie;soutenue;;12-10-2016;fr;2016PA01H018;non;17-07-2013;30-08-2017;
Rose-Marie Grenouillet;186163541;Le territoire, un produit comme un autre ? : La Ressource territoriale comme facteur clé du développement durable local;Rémi Rouault;Rouault Rémi;033661790;Caen;026403064;Géographie;soutenue;;01-01-2015;fr;2015CAEN1001;non;02-07-2014;16-11-2016;
Kévin Mary;11873010X;Les élites maliennes en quête d'Amérique : Migrations internationales pour études et enjeux d'une reproduction sociale inachevée;Jean-Marc Fournier,Patrick Gonin;Fournier Jean-Marc,Gonin Patrick;050662503,077174607;Caen;026403064;Géographie;soutenue;;01-01-2014;fr;2014CAEN1011;non;02-07-2014;24-06-2015;
Médéric Briand;184571189;La géographie scolaire au prisme des sorties : pour une approche sensible à l’école élémentaire;Jean-François Thémines;Thémines Jean-François;07419139X;Caen;026403064;Géographie;soutenue;;01-01-2014;fr;2014CAEN1027;non;23-07-2014;20-04-2015;
Clément Marie Dit Chirot;120545896;« Pour un morceau de terre » : Enjeux sociaux et politiques de la valorisation touristique de l’espace au Mexique;Jean-Marc Fournier,Patrick Gonin;Fournier Jean-Marc,Gonin Patrick;050662503,077174607;Caen;026403064;Géographie;soutenue;;01-01-2014;fr;2014CAEN1010;non;11-02-2015;16-03-2015;
Romain Reulier;147208122;Impact de la structure paysagère sur les dynamiques spatiales des transferts hydro-sédimentaires : approche par simulation multi-agents;Daniel Delahaye;Delahaye Daniel;087548100;Caen;026403064;Géographie;soutenue;;01-01-2015;fr;2015CAEN1011;non;04-07-2014;24-03-2016;
Gabriel Fauveaud;166102938;Produire la ville en Asie du Sud-Est : les stratégies socio-spatiales des acteurs immobiliers à Phnom Penh, Cambodge;Thierry Sanjuan;Sanjuan Thierry;034936203;Paris 1;027361802;Géographie;soutenue;;01-01-2013;fr;2013PA010536;non;03-03-2016;02-03-2016;
Anissa Boutemedjet;199533512;Imagerie et quartier, entre pratiques des populations et action publique : le cas de la ville d'Annaba en Algérie;Nora Semmoud;Semmoud Nora;058756175;Tours;026404478;Géographie;soutenue;;18-06-2014;fr;2014TOUR1501;non;26-09-2011;05-09-2017;
Hamidou Ly;201046555;De New York à Dakar : pour une approche critique et méthodologique de la justice environnementale;Bouziane Semmoud;Semmoud Bouziane;029003105;Paris 8;026403552;Geographie;soutenue;;07-12-2016;fr;2016PA080089;non;26-05-2014;07-09-2017;
Pamela Quiroga;185101798;Mobilités urbaines et inégalités : le cas des personnes âgées des quartiers populaires de Recife (Brésil);Vincent Gouëset,Jan Bitoun;Gouëset Vincent,Bitoun Jan;054373883,168704145;Rennes 2;054447658;Géographie;soutenue;;10-12-2014;fr;2014REN20057;oui;21-04-2015;11-09-2017;
Ismail Aouiche;200799304;Dynamique morphosédimentaire de la baie d’Agadir : approche multi-méthodes et préconisations pour une gestion intégrée de la zone côtière;Edward Anthony,Lahcen Daoudi,Mouncef Sedrati;Anthony Edward,Daoudi Lahcen,Sedrati Mouncef;033452377,132058618,115669604;Aix-Marseille;15863621X;Géographie;soutenue;;20-05-2016;fr;2016AIXM3017;oui;10-12-2014;12-09-2017;
Caroline Pouliquen;20319294X;Le développement du tourisme dans les espaces de nature protégés français et européens : les cas du Parc National du Lake District (Royaume-Uni), de l’Espace Naturel de Doñana (Espagne) et du Parc Naturel Régional du Verdon (France);Philippe Violier;Violier Philippe;051621770;Angers;026402920;Géographie;soutenue;;08-12-2014;fr;2014ANGE0020;oui;26-09-2011;14-09-2017;
Diogène Macaire Siro Grembo;204035740;Croissance urbaine, un défi pour l’accès à l’eau potable et à l’assainissement à Bangui (République Centrafricaine).;Emmanuèle Gautier,Alphonse Yapi-Diahou;Gautier Emmanuèle,Yapi-Diahou Alphonse;050339575,055752306;Paris 8;026403552;Geographie;soutenue;;26-01-2017;fr;2017PA080004;oui;26-05-2014;18-09-2017;
Charline Rangé;204181216;Multi-usage des ressources et mobilités : l'intensification dans une zone humide sahélienne. Le lac Tchad vu par sa fenêtre camerounaise;Hubert Cochet;Cochet Hubert;029906423;Paris, AgroParisTech;139408088;Géographie;soutenue;;12-02-2016;fr;2016AGPT0014;oui;21-09-2017;21-09-2017;
Adrien Picquout;170939960;Impacts géographiques de l'éruption de 2010 du volcan Merapi, Java, Indonésie;Franck Lavigne;Lavigne Franck;076351920;Paris 1;027361802;Geographie;soutenue;;29-03-2013;fr;2013PA010581;oui;04-10-2013;19-07-2017;
Emmanuelle Faure;200041657;Entre effets de genre et effets de lieux : géographies du dépistage du cancer colorectal à Boulogne-Billancourt et Gennevilliers (92);Gérard Salem,Stéphane Rican;Salem Gérard,Rican Stéphane;083154922,05284501X;Paris 10;026403587;Géographie;soutenue;;12-12-2016;fr;2016PA100164;oui;19-03-2013;05-10-2017;
Ceyda Bakbasa;177202777;Les politiques culturelles comme un outil de régénération urbaine : le cas de la Corne d'Or, Istanbul;Georges Prévélakis;Prévélakis Georges;03378549X;Paris 1;027361802;Geographie;soutenue;;29-11-2013;fr;2013PA010670;oui;13-07-2013;09-03-2017;
Stéphane Milhaud;17728529X;Les petites villes, de nouveaux centres pour le développement territorial chinois : l'exemple de la province du Zhejiang;Thierry Sanjuan;Sanjuan Thierry;034936203;Paris 1;027361802;Geographie;soutenue;;05-12-2013;fr;2013PA010672;oui;16-07-2013;11-06-2016;
Estuning Tyas Wulan Mei;174717490;Gestion des évacuations lors des crises volcaniques : étude de cas du volcan Merapi, Java, Indonésie.;Franck Lavigne;Lavigne Franck;076351920;Paris 1;027361802;Geographie;soutenue;;02-07-2013;fr;2013PA010622;oui;16-07-2013;11-06-2016;
Fouzi Nabet;174484216;Etude du réajustement du lit actif en Loire moyenne, bilan géomorphologique et diagnostic du fonctionnement des chenaux secondaires en vue d'une gestion raisonnée;Charles Le Coeur,Emmanuèle Gautier;Le Coeur Charles,Gautier Emmanuèle;034703853,050339575;Paris 1;027361802;Geographie;soutenue;;10-04-2013;fr;2013PA010611;oui;26-11-2013;19-07-2017;
Eun Hye Kim;17495302X;Les transitions énergétiques urbaines du XIXe au XXIe siècle : de la biomasse aux combustibles fossiles et fissiles à Paris (France);Sabine Barles;Barles Sabine;034389121;Paris 1;027361802;Geographie;soutenue;;23-04-2013;fr;2013PA010612;oui;11-12-2013;04-07-2017;
Benoudjita Ngaryam;204656834;La problématique de gestion durable de la biodiversité au Tchad : impacts des aires protégées sur les zones périphériques - cas des parcs nationaux de Manda et Sena Oura.;Alphonse Yapi-Diahou,Laurent Simon;Yapi-Diahou Alphonse,Simon Laurent;055752306,203099125;Paris 8;026403552;Geographie;soutenue;;07-03-2016;fr;2016PA080118;oui;26-05-2014;13-10-2017;
Ziad Alhaskeer;167566709;Analyse cartographique de la structure des paysages de vallées : évaluation de la dynamique des paysages de vallées du bassin versant de la Maine à partir de la télédétection et de SIG;Jeannine Corbonnois,François Laurent;Corbonnois Jeannine,Laurent François;061649945,076604683;Le Mans;026404435;Géographie;soutenue;;21-12-2012;fr;2012LEMA3009;oui;26-09-2011;04-01-2016;
Ahmed Salem El Arbi;170625060;Etalement urbain et inégalités sociales et environnementales : cas de Nouadhibou - Mauritanie;Yamna Djellouli,Cyria Emelianoff;Djellouli Yamna,Emelianoff Cyria;117235083,068881193;Le Mans;026404435;Géographie;soutenue;;01-07-2013;fr;2013LEMA3002;non;26-09-2011;15-07-2013;
Charlotte Gisèle Kouna Eloundou;167777467;Décentralisation forestière et gouvernance locale des forêts au Cameroun : le cas des forêts communales et communautaires dans la région Est;Yamna Djellouli,Moïse Tsayem-Demaze;Djellouli Yamna,Tsayem-Demaze Moïse;117235083,075902486;Le Mans;026404435;Géographie;soutenue;;06-12-2012;fr;2012LEMA3012;oui;26-09-2011;28-02-2013;
Adam Saleh;168567318;Un modèle et son revers : la cogestion des réserves de biosphère de Waza et de la Bénoué dans le Nord-Cameroun;Yamna Djellouli,Moïse Tsayem-Demaze;Djellouli Yamna,Tsayem-Demaze Moïse;117235083,075902486;Le Mans;026404435;Géographie;soutenue;;06-12-2012;fr;2012LEMA3013;oui;26-09-2011;15-12-2015;
Céline Raimbert;20169204X;Quilombos ou l’affirmation de la diversité territoriale au Brésil. Une réflexion autour de la durabilité rurale et de l’action collective territorialisée;Martine Droulers;Droulers Martine;030163765;Sorbonne Paris Cité;19077990X;Géographie;soutenue;;30-11-2016;fr;2016USPCA139;oui;26-09-2011;22-06-2017;
Raimundo Nonato Junior;201696169;Géographie Régionale de la frontière France-Brésil : la tension entre régionalisation et internationalisation de l'espace oyapockois;François-Michel Le Tourneau;Le Tourneau François-Michel;082998701;Sorbonne Paris Cité;19077990X;Géographie;soutenue;;21-01-2016;pt;2016USPCA014;oui;31-01-2012;14-06-2017;
Aurélien Taburet;166510556;Promoteurs immobiliers privés et problématiques de développement durable urbain;Jacques Chevalier,Cyria Emelianoff;Chevalier Jacques,Emelianoff Cyria;033837651,068881193;Le Mans;026404435;Géographie;soutenue;;03-12-2012;fr;2012LEMA3006;oui;04-01-2013;15-12-2015;
Ricardo Theophilo Folhes;203346661;O Lago Grande do Curuai : história fundiária, usos da terra e relações de poder numa área de transição várzea-terra firme na Amazônia;François-Michel Le Tourneau,Roberto Araújo Oliveira Santos Junior;Le Tourneau François-Michel,Santos Junior Roberto Araújo Oliveira;082998701,19302084X;Sorbonne Paris Cité;19077990X;Géographie;soutenue;;07-12-2016;pt;2016USPCA125;oui;29-01-2013;23-08-2017;
Dominique Legrand-Picard;189362669;Pauvreté et mal-développement. Une géographie sociale de la Martinique;Christian Girault;Girault Christian;026893207;Sorbonne Paris Cité;19077990X;Géographie;soutenue;;12-01-2015;fr;2015USPCA019;non;08-03-2013;29-04-2017;
Paul Salze;177174374;Activité sportive et mobilité quotidienne chez les adolescents : un modèle à bas d'agents pour explorer le rôle du cadre de vie dans les dynamiques socio-spatiales des pratiques;Dominique Badariotti,Chantal Simon;Badariotti Dominique,Simon Chantal;034261885,081173334;Strasbourg;131056549;Géographie;soutenue;;27-09-2013;fr;2013STRAH017;oui;26-09-2011;31-10-2017;
Sajjad Hussain Sajjad;177471921;Observational and modelling approaches to study urban climate : application on Pakistan;Alain Clappier;Clappier Alain;177472200;Strasbourg;131056549;Géographie;soutenue;;16-04-2013;en;2013STRAH021;oui;26-09-2011;31-10-2017;
Francis Dorn;167811061;Identité d’un territoire rural de marge : essai de modélisation : application à l’Alsace Bossue (1920-30 & 2010);Dominique Badariotti,Christiane Weber;Badariotti Dominique,Weber Christiane;034261885,034178864;Strasbourg;131056549;Géographie;soutenue;;27-09-2012;fr;2012STRAH009;oui;14-03-2013;31-10-2017;
David Epstein;17581483X;La mobilité spatiale locale : l'influence de la mobilité quotidienne sur la mobilité résidentielle : l'exemple des résidants actifs luxembourgeois;Christiane Weber,Philippe Gerber;Weber Christiane,Gerber Philippe;034178864,069647003;Strasbourg;131056549;Géographie;soutenue;;26-06-2013;fr;2013STRAH009;oui;21-05-2014;31-10-2017;
Marie-Noëlle Carré;177004878;Gouverner la métropole par les déchets : Service urbain, action publique territoriale et écologie urbaine à Buenos Aires;Marie-France Prévôt Schapira;Prévôt Schapira Marie-France;028289781;Paris 3;027361837;Géographie;soutenue;;23-10-2013;fr;2013PA030109;non;26-09-2011;15-09-2017;
Edane de Jesus França Acioli;187441235;Catadores e a indústria da reciclagem em Belém, Amazônia;Martine Droulers,Edna Ramos de Castro;Droulers Martine,Ramos de Castro Edna;030163765,169790142;Paris 3;027361837;Géographie;soutenue;;20-10-2014;fr;2014PA030093;non;26-09-2011;20-03-2017;
Mathilde Fautras;219994277;La terre entre racines, épargnes et spéculations : appropriations foncières et recompositions de l’espace rural de Regueb (Tunisie);Habib Ayeb,Frédéric Landy;Ayeb Habib,Landy Frédéric;035707399,033585873;Paris 10;026403587;Géographie;soutenue;;05-12-2016;fr;2016PA100137;non;18-04-2012;13-11-2017;
Johan Berthet;197012647;L’évolution géomorphologique des systèmes torrentiels proglaciaires de la vallée de Chamonix-Mont-Blanc, une approche du couplage sédimentaire de la fin du Petit Age Glaciaire au désenglacement récent;Laurent Astrade,Jean-Jacques Delannoy;Astrade Laurent,Delannoy Jean-Jacques;069940908,029298237;Grenoble Alpes;184668794;Géographie;soutenue;;21-06-2016;fr;2016GREAA009;oui;16-10-2013;15-12-2016;
Lise Piquerey;197073921;Golden Snow. Ségrégation et entre-soi dans les stations de sports d'hiver haut de gamme en Autriche, en France et en Suisse.;Christophe Gauchon,Lionel Laslaz;Gauchon Christophe,Laslaz Lionel;05760035X,121608778;Grenoble Alpes;184668794;Géographie;soutenue;;23-05-2016;fr;2016GREAA006;oui;08-11-2013;12-12-2016;
Chantal Béranger (Bourdoncle);096127813;Le rôle du chemin de fer en Afrique : les cas du Mozambique et du Kenya;Benjamin Steck;Steck Benjamin;030925363;Le Havre;031308570;Géographie;soutenue;;12-10-2012;fr;2012LEHA0010;oui;06-06-2014;11-02-2015;
Lény Grassot;198287291;Mobilités évènementielles et espace urbain : Exploitation des donnés de téléphonie mobile pour la modélisation des grands évènements urbains;Bernard Elissalde,Françoise Lucchini;Elissalde Bernard,Lucchini Françoise;030676037,06128615X;Rouen;026403919;Géographie;soutenue;;01-01-2016;fr;2016ROUEL015;non;03-04-2013;23-11-2017;
Daiyue Huang;171334264;Efficiency of environmental legislative measures to ICT industry in China with case of Chongqing City - from geographical view;Gilles Puel,Chao Liu;Puel Gilles,Liu Chao;115446265,168966794;Université Toulouse 1 Capitole;026404354;Géographie;soutenue;;19-06-2013;enfr;2013TOU10024;oui;05-09-2013;31-08-2016;
Racha Sallemi;198082398;Stratégies spatiales et gestion de la biodiversité marine : le cas de l'Aire Marine Protégée et Côtière des îles Kuriat en Tunisie;Marie-Christine Cormier-Salem,Amor Mokhtar Gammar;Cormier-Salem Marie-Christine,Gammar Amor Mokhtar;033337098,192629298;Paris, Muséum national d'histoire naturelle;026394944;Géographie;soutenue;;01-01-2014;en;2014MNHN0027;non;07-02-2017;23-11-2017;
Shiwei Shen;203967925;Les vieux villages chinois : évolution, patrimonialisation et mise en tourisme;Philippe Violier;Violier Philippe;051621770;Angers;026402920;Geographie;soutenue;;19-12-2014;fr;2014ANGE0026;oui;20-02-2015;25-11-2017;
Betty Rouland;190219289;Migrations, mondialisation, santé : Almería, province globale ?;Sophie de Ruffray,Alain Vaguet,Pablo Pumares Fernandez;Ruffray Sophie de,Vaguet Alain,Pumares Fernandez Pablo;190218363,031805655,190218622;Rouen;026403919;Géographie;soutenue;;01-01-2014;fr;2014ROUEL029;non;17-12-2015;29-11-2017;
Emmanuel Veron;220245487;Les espaces ruraux à l'heure du tourisme citadin : l'exemple du delta du Yangzi - Chine;Thierry Sanjuan;Sanjuan Thierry;034936203;Paris 1;027361802;Géographie;soutenue;;02-12-2016;fr;2016PA01H034;oui;29-10-2013;29-11-2017;
Augustin Marone;202370054;Diagnostic des risques d’inondations continentales et marines : application à l’échelle des communes de Rufisque (Sénégal);Stéphane Costa,Daniel Delahaye;Costa Stéphane,Delahaye Daniel;096705426,087548100;Caen;026403064;Géographie;soutenue;;01-01-2016;fr;2016CAEN1029;non;02-07-2014;06-12-2017;
Fábio Nór Güttler;170279782;Les eaux du delta du Danube : approche géographique par télédétection satellitaire;Yannick Lageat;Lageat Yannick;029898226;Brest;026403021;Géographie;soutenue;;10-12-2012;fr;2012BRES0043;oui;26-09-2011;06-12-2017;
Leïla Havard;182477460;Gouvernance des aires protégées marines et côtières. L'exemple du golfe de Californie (Basse Californie Sud, Mexique) : acteurs et territoires;Louis Brigand,Micheline Cariño;Brigand Louis,Cariño Micheline;031294065,100818676;Brest;026403021;Géographie;soutenue;;19-12-2013;fr;2013BRES0069;oui;26-09-2011;06-12-2017;
Marie Jabbar;201589001;Dynamiques morpho-sédimentaires des avant-plages et impact sur les stocks sableux : vers une meilleure stratégie de gestion des risques côtiers;Alain Hénaff,Nicolas Le Dantec;Hénaff Alain,Le Dantec Nicolas;117558133,201589710;Brest;026403021;Géographie;soutenue;;12-12-2016;fr;2016BRES0108;oui;21-01-2014;06-12-2017;
Camille André;177058811;Analyse des dommages liés aux submersions marines et évaluation des coûts induits aux habitations à partir de données d'assurance : perspectives apportées par les tempêtes Johanna (2008) et Xynthia (2010);Catherine Meur-Férec,Charlotte Vinchon;Meur-Férec Catherine,Vinchon Charlotte;097642177,114987149;Brest;026403021;Géographie;soutenue;;18-12-2013;fr;2013BRES0044;oui;26-09-2011;06-12-2017;
Emmanuel Blaise;20312376X;Etude des dynamiques du trait de côte de la région Bretagne à différentes échelles spatio-temporelles;Serge Suanez;Suanez Serge;094689512;Brest;026403021;Géographie;soutenue;;20-01-2017;fr;2017BRES0010;oui;16-12-2015;06-12-2017;
Anthony Houbart;182693023;Evolution géomorphologique quaternaire de la Haute Vallée de l'Elqui : répartition spatio-temporelle des formes, modelés sédimentaires et interprétation paléoenvironnementale : cordillère de l'Elqui (Chili semi-ardie, Norte-Chico);Christian Giusti;Giusti Christian;030662702;Paris 4;026403633;Géographie;soutenue;;21-11-2014;fr;2014PA040131;non;26-09-2011;06-12-2017;
Pauline Guinard;172643279;Les espaces publics au prisme de l’art à Johannesburg (Afrique du Sud) : quand la ville fait œuvre d’art et l’art œuvre de ville;Philippe Gervais-Lambony;Gervais-Lambony Philippe;033124205;Paris 10;026403587;Géographie;soutenue;;28-11-2012;fr;2012PA100165;non;26-09-2011;20-01-2014;
Marian-Daniel Buruiană;192197029;Atmospheric precipitations, water discharge and inundations in the Moldavian plain;Ionel Haidu,Liviu Apostol;Haidu Ionel,Apostol Liviu;14912127X,192208438;Université de Lorraine;157040569;Géographie;soutenue;;03-07-2015;en;2015LORR0251;oui;30-03-2016;19-05-2017;
Héloïse Lucaccioni;220977070;Espaces, liens, et santé : dynamiques d’invasion d’un hôte de zoonoses dans un territoire en mutation : le cas du rat noir au Sénégal Oriental;Gérard Salem,Pascal Handschumacher;Salem Gérard,Handschumacher Pascal;083154922,032602049;Paris 10;026403587;Géographie;soutenue;;13-12-2016;fr;2016PA100167;oui;19-03-2013;11-12-2017;
Gonéri Le Cozannet;221405356;Les conséquences de l'élévation du niveau marin pour le recul du trait de côte;Franck Lavigne;Lavigne Franck;076351920;Paris 1;027361802;Géographie;soutenue;;02-12-2016;fr;2016PA01H036;oui;11-12-2017;12-12-2017;
